,price,artist,title,yearCreation,signed,condition,period,movement
292,25000,George Hoyningen-Huene,"Divers, Paris",1930,"Embossed with photographer's stamp; Signed and inscribed ""From the collection of Horst"" by Horst P. Horst in pencil on verso",[nan],Modern,Realism
368,25000,Ed  Ruscha,Sin,1970,"Signed, dated and numbered on front left corner.",Excellent condition.,Contemporary,Conceptual 
228,25000,Louise  Bourgeois,Crochet V,1998,[nan],"The work is in excellent condition, direct from the publisher.",Post-War,Feminist Art 
230,25000,Louise  Bourgeois,Crochet IV,1998,[nan],"The work is in excellent condition, direct from the publisher.",Post-War,Feminist Art 
221,25000,Tom  Wesselmann,Still Life with Blonde and Goldfish,2000,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
254,25000,Elger Esser,Hoquiam,2008,Signed on label,"The work is in excellent condition, direct from the publisher.",Contemporary,Realism
389,25000,GEORGE LOVETT KINGSLAND MORRIS,"St. Etienne-du-Mont, No. 2",1962,"Signed Morris (lower right); also signed again, titled St. Etienne-du-Mont, No. 2 and dated 1962-3 (on the reverse)","The canvas is unlined and there is minor frame abrasion at the extreme edges. Under UV: there is some inpainting to address frame abrasion. Although some pigments read strongly under UV, they appear to be the artist's original.",Post-War,Cubism
222,24000,Ed  Ruscha,Rusty Signs - Dead End 1,2014,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
103,24000,Brian Calvin,Beneath the Sun,2019,Signed certificate of authenticity,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism
351,23000,James Welling,Glass House,2010,"Signed, titled, dated and numbered lower recto",Excellent condition. Frame has slightly cracked miter joint on upper right corner.,Contemporary,Conceptual 
361,22500,Christopher Williams,"CUTAWAY MODEL NIKKOR ZOOM LENS 50-300MM Ƒ/4.5. PHOTOGRAPHY BY THE DOUGLAS M. PARKER STUDIO, LOS ANGELES, CALIFORNIA, OCTOBER 13, 2007 - OCTOBER 29, 2007",2007,"Signed, partially titled, dated 08 and numbered AP on the reverse","This work is in very good condition overall.There is a light layer of surface dust that has adhered to the surface.Under very close inspection there is a white spot accretion, 7 inches from the top edge and 10 inches from the left edge.",Contemporary,Realism
106,22500,Gustave Blache III,Natalie Scrape Cleaning,2014,Signed upper right,This work is in very good condition.,Contemporary,Realism
257,22500,Valérie Belin,White Narcissus in Orange (Colour Wonder),2018,Signed on labels on Dibond on verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
277,22500,Christine Wang,Woman Yacht,2019,Signed verso,Excellent condition.,Contemporary,Realism
232,22000,John Baldessari,Concrete Couples,2015,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
297,22000,Russell Young,Audrey Hepburn,2019,"Signed and numbered ""FX"" verso",Excellent condition.,Contemporary,Pop Art
304,22000,Russell Young,Audrey Hepburn,2019,"Signed and numbered ""EX"" verso",Excellent condition.,Contemporary,Pop Art
251,21000,Abelardo Morell,After Hitchcock: Psycho. House. Tent-Camera Image,2018,"Signed and numbered in pen on a label, on verso of Dibond mount","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
365,20000,Hiroshi Sugimoto,Helicoid Minimal Surface,2004,Signed in front under the mat on the right side.,Excellent condition.,Contemporary,Conceptual 
366,20000,Hiroshi Sugimoto,Differential Bevel Gear,2004,Signed in front under the mat on the right side.,Excellent condition.,Contemporary,Conceptual 
223,20000,Ed  Ruscha,Rusty Signs - Cash for Tools 1,2014,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
276,20000,Henry Gunderson,Down So Long It Looks Up,2019,Signed verso,Excellent condition.,Contemporary,Surrealism
280,20000,Henry Gunderson,Scissor Lock,2019,Signed verso,Excellent condition.,Contemporary,Realism
220,20000,Tom  Wesselmann,Sunset Nude with Yellow Tulips,2005,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
64,20000,Hiram Reynolds Bloomer,Yosemite Valley with Native American Encampment,1877,"Signed H R. Bloomer, (lower left)",Canvas is in overall very good condition.Frame is in poor condition.This work has been restored by Marco Grassi.,19th Century,Realism
192,19200,Carl (Christian Edvard Otto) Carlsen,A Forest Walk in Autumn,1892,Signed and dated Carl. Carlsen./ 1892 lower right ,"The canvas is unlined. The paint surface is in good condition with thick impasto except for very fine pigment separation on the central figure's coat and on the tree trunk at right, in a small area. Under UV light, no evidence of inpainting.",19th Century,Impressionism
274,19000,Henry Gunderson,Neurochamber,2019,Signed verso,Excellent condition.,Contemporary,Realism
99,18000,Tom Otterness,Seder Plate,1994,Signed and numbered on the back,"This work is in excellent condition, direct from the publisher.",Contemporary,Social Realism
227,18000,Jorge Pardo,Untitled,2006,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
348,18000,Dashiell Manley,"Triangles (Front, Back, Blue Gels, Fingers)",2013,[nan],Good condition.,Contemporary,Abstract
105,18000,Jonas Wood,Yellow and Orange Orchid Clipping,2018,Signed certificate of authenticity,This work is in excellent condition.,Contemporary,Pop Art
90,18000,Yinka Shonibare CBE,Carriage Clock,[nan],"Each edition is accompanied by a colophon, signed, and numbered by the artist and stamped with his seal","This work is in excellent condition, direct from the publisher. 3D printed using ABS, PLA plastics, resin, automobile paints, etched brass, dry transfers, acrylic mirror, batik fabric, quartz clock",Contemporary,Social Realism
325,17000,Charly Palmer,Tar Baby,2012,Signed by artist,Excellent condition.,Contemporary,Expressionism
324,17000,Charly Palmer,Erasing Memories,2020,Signed verso,Excellent condition.,Contemporary,Expressionism
307,16000,Russell Young,Marilyn Crying,2019,"Signed and numbered ""AX"" verso",Excellent condition.,Contemporary,Pop Art
376,15500,Paul Lucien Maze,Oxford from Christ Church Pavilion,1950,Signed Paul Maze lower left recto,No obvious signs of wear to art.Not examined out of frame.Minor frame abrasion and chips to gilt at edges.,Post-War,Post-Impressionism
287,15000,Horst P. Horst,Dali Costumes - Paris,1939,"Blindstamped on recto; Signed, titled and dated in pencil and with photographer's stamp on verso",Excellent condition.,Modern,Realism
196,15000,Ansel Adams,"Fresh Snow, Yosemite Valley, California ",1947,Signed lower right recto,Water stain or smudge on mat on top left corner.Not examined out of frame.No obvious signs of wear to art.,Post-War,Realism
147,15000,Judy Chicago,Mary Queen of Scots,1973,Signed by artist on the reverse,"The work is in excellent condition, direct from the publisher.",Contemporary,Feminist Art 
203,15000,Philip Guston,Rug,1980,"Signed by artist and numbered, recto",Very good condition,Post-War,Social Realism
234,15000,Elizabeth Murray,Shack,1994,"Signed mid-work, far right","The work is in excellent condition, direct from the publisher.",Post-War,Abstract
301,15000,Russell Young,Elizabeth Taylor,2005,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
302,15000,Russell Young,Elizabeth Taylor,2005,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
226,15000,Ed  Ruscha,"New Wood, Old Wood",2007,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
305,15000,Russell Young,Elvis,2007,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
309,15000,Russell Young,Elvis,2007,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
239,15000,Kiki Smith,Friend,2008,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
240,15000,Kiki Smith,Fortune,2008,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
296,15000,Russell Young,Elizabeth Taylor Portrait,2008,"Signed and numbered ""RY2008"" verso",Excellent condition.,Contemporary,Pop Art
303,15000,Russell Young,Elizabeth Taylor Portrait,2008,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
349,15000,Jessica Jackson Hutchins,Punctuation,2011,[nan],The work appears to be in excellent condition. The piece is framed. There are some very small pieces of material in the bottom of the frame that have come away from the piece. This work has not been inspected out of the frame.,Contemporary,Abstract
391,15000,Francesco Correggia,Nevermore,2013,Signed verso ,Overall excellent condition.,Contemporary,Abstract
421,15000,Francesco Correggia,I Am Alone,2013,Signed verso ,This work is in excellent condition.,Contemporary,Abstract
149,15000,John Baldessari,Engravings with Sounds: Sniffle,2015,Signed by artist on front,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
36,15000,Kehinde Wiley,Sophie Arnould Study II,2016,"Signed in pencil, dated and numbered lower right","The work is in excellent condition, direct from the publisher.",Contemporary,Realism
246,15000,Carmen Herrera,Island,2020,Signed verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction
12,15000,Zhang Yu,96.6.2,[nan],Signed lower right,"This work is in very good condition; however, there is significant rippling of the paper throughout, including a large crease down center front. These undulations are most likely caused by the nature of the materials used.",Contemporary,[nan]
364,14680,Mickalene Thomas,Madame Mama Bush in Black and White,2009,"Signed, dated, and titled in ink on verso.",Excellent condition.,Contemporary,Conceptual 
231,14000,John Baldessari,Stonehenge (With Two Persons) Blue,2005,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
326,14000,Lisa Oppenheim,California Wildfire 2010/2012 (Version II),2012,"Signed by the photographer in ink on a Tanya Bonakdar Gallery, New York, label on the reverse of the frame.",This work has not been examined unframed as issued. It appears to be in generally excellent condition. Framed under glass.,Contemporary,Abstract
72,14000,KAWS,Man's Best Friend,2016,Signed and dated in pencil recto,Excellent condition ,Contemporary,Street Art
130,14000,KAWS,Man's Best Friend ,2016,Signed and dated in pencil recto ,Excellent condition.,Contemporary,Street Art
131,14000,KAWS,Man's Best Friend ,2016,Signed and dated in pencil recto,Excellent condition.,Contemporary,Street Art
322,13500,Charles Green Shaw,Giant Clutch,1965,Signed Charles Shaw and dated 1965 (on the reverse),"This work is unlined.The surface of the work is dirty with scattered pindots of surface accretion.Under UV: Although some pigments read strongly, they appear to be the artist's original.",Post-War,Abstract
213,13000,Jim Dine,Cream and Red Robe on a Stone,2010,"Signed by artist and numbered, recto",Very good condition,Contemporary,Pop Art
308,13000,Russell Young,Elvis Pistol,2011,"Signed and marked ""RY PEACE"" verso",Excellent condition.,Contemporary,Pop Art
258,12500,Marina Abramović,Chair for the Spirit Chair for Man,1999,Signed in pencil and numbered,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
181,12500,Hossein Edalatkhah,Dancing Shadows,2018,Signed and dated bottom right,The work is in excellent condition.,Contemporary,Organic/Biomorphic Abstraction
63,12000,Joseph Rusling Meeker,"Boating, Early Autumn ",1877,"Signed JR Meeker, (lower left)",Very good condition.Relined.,19th Century,Realism
31,12000,Guy Pène Du Bois,Billboard,1920,Signed Guy Pène du Bois and dated 20 (lower left),"The following condition report has been provided by Simon Parkes Art Conservation, Inc., New York, an independent restorer who is not an employee of Sotheby's:This work is in good condition.It has developed mild thin cracks across the top edge and across the bottom edge, not unusual for plywood.The cracks have not been retouched, except in the left shoulder of the figure, and will remain stable.The paint layer is clean and lightly varnished.There are a few retouches in tiny spots around the edges, in the left elbow of the figure and in 5 small spots in the left background.Pene du Bois' original color reads quite strongly in the hat and in the diagonal green line across the lower part of the picture, but this is all original pigment. The work should be hung as is.",Modern,Realism
82,12000,Cindy  Sherman,Madame de Pompadour (née Poisson),1990,Each signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
87,12000,Cindy  Sherman,Madame de Pompadour (née Poisson),1990,Each piece signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
88,12000,Cindy  Sherman,Madame de Pompadour (née Poisson),1990,Each signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
238,12000,Helen Frankenthaler,Causeway,2001,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract
209,12000,Victoria Sambunaris,"Untitled (White Trains on Salt Flats, I-80, Great Salt Lake Desert, Utah)",2010,[nan],Very good condition,Contemporary,Realism
350,12000,Artie Vierkant,Image Object Sunday 12 February 2012 6:22pm,2012,[nan],Artwork not inspected.,Contemporary,Abstract
392,12000,Francesco Correggia,Verso Sera,2012,Signed verso ,Overall excellent condition.,Contemporary,Abstract
393,12000,Francesco Correggia,Si Sciara,2012,Signed verso ,Overall excellent condition.,Contemporary,Abstract
233,12000,John Baldessari,BLAH,2018,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
275,12000,Mieke Marple,Bad Feminist (Blue Lace Medusa),2019,Signed verso,Excellent condition.,Contemporary,Feminist Art 
279,12000,Christine Wang,Leo Baby,2020,Signed verso,Excellent condition.,Contemporary,Realism
262,12000,Amedeo Simonetti,The Harem's Cobbler,1875,Signed Amedeo Simonetti and inscribed Roma (lower right),"Watercolor and gouache on card, hinged to a back mat with tape at the edges. There is slight rippling to the card. The surface is in generally good condition, aside from minor surface dirt and dust; some mat staining at the edges; very faint, scattered foxing and a few isolated tiny pin dot accretions; a pin dot loss at center right; and some very fine craquelure to the darker pigments on the man's sleeve at lower right and shadow of the tablecloth. The colors remain fresh. Additional former tape mounts visible verso.Framed in a gold frame with floral motifs and ready to hang in its current state.",19th Century,Traditional
264,11000,Antonio Carreno,Allegorical #2,2016,Signed lower right recto,Excellent condition.,Contemporary,Abstract Expressionism
265,11000,Antonio Carreno,Allegorical,2016,Signed lower right recto,Excellent condition.,Contemporary,Abstract Expressionism
268,11000,Antonio Carreno,Racing Divine,2016,Signed lower right recto,Excellent condition.,Contemporary,Abstract Expressionism
83,10000,Cindy  Sherman,Madame de Pompadour (née Poisson),1990,Each signed and numbered,"This work is in excellent condition, direct from the publisher",Contemporary,Conceptual 
93,10000,Cindy  Sherman,Madame de Pompadour (née Poisson),1990,Each piece signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
27,10000,Anish Kapoor,Untitled 12,1991,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
284,10000,Michael Kenna,"Ile de La Cite (Merci HCB), Paris, France",1992,"Signed, numbered, and dated in pencil recto; Signed, titled, dated and numbered with photographer's copyright stamp verso",Excellent condition.,Post-War,Realism
197,10000,William Wegman,"'Letters, Numbers, Punctuation'",1993,"Each signed, dated, editioned '22/26,' and numbered or lettered sequentially in pencil on the reverse.",This portfolio composed of 44 gelatin silver prints is in generally excellent condition. The edges of each sheet bow upward slightly. The cloth clamshell box is very slightly soiled at the corners and edges.,Contemporary,Conceptual 
102,10000,James Welling,New Abstraction No. 59 (Red Stripe),2010,Signed and numbered on label by the artist,This work is in excellent condition.,Contemporary,Conceptual 
342,10000,Julia Rommel,Hobby,2012,Signed and dated on reverse ,No obvious signs of wear or damage.,Contemporary,Conceptual 
26,10000,Wayne Thiebaud,Dark Canyon Bluffs,2014,Signed bottom right,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism
216,10000,Biff Elrod,Side Glance Two ,2017,signed verso ,[nan],Contemporary,Pop Art
185,10000,Hossein Edalatkhah,Pandora’s Garden,2019,Signed and dated on the reverse,The work is in excellent condition.,Contemporary,Expressionism
180,10000,Hossein Edalatkhah,Belle Watling (Pink Whores) ,2021,Signed and dated on the reverse,The work is in excellent condition.,Contemporary,Expressionism
66,10000,Felix Schlesinger,Untitled ,1850,Signed in upper left recto,"Not examined out of frame.Rubbing of frame caused some loss to paint across the top of painting, most predominately in the center.Nicks and chips to the frame, largest nicks are on the top left and bottom right.Wear consistent with age.",19th Century,Realism
314,9995,Sze Tsung Leong,"Lincoln Center, New York",2003,Signed in ink on the photographer's label on the reverse,"This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Contemporary,Realism
286,9500,Frances McLaughlin-Gill,"Fiona Campbell, The Palace at Versailles, Paris",1950,"Signed, dated and titled in pencil verso",Excellent condition.,Post-War,Realism
235,9500,Robert Rauschenberg,Back-up (Ground Rules),1997,Signed lower right,"The work is in excellent condition, direct from the publisher.",Post-War,Conceptual 
248,9500,Didier Vermeiren,"Lenticular Photographs, Los Angeles Studio, 2008",2008,Signed on certificate attached to back of frame,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
141,9500,Robert Indiana,"Seasons of Hope, Summer",2012,"Signed, dated, and numbered in pencil recto",No obvious signs of damage or wear.,Contemporary,Pop Art
152,9500,Robert Indiana,"Seasons of Hope, Spring",2012,"Signed, dated, and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art
153,9500,Robert Indiana,"Seasons of Hope, Summer",2012,"Signed, dated and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art
160,9500,Robert Indiana,"Seasons of Hope, Winter",2012,"Signed, dated and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art
161,9500,Robert Indiana,"Seasons of Hope, Autumn",2012,"Signed, dated and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art
165,9500,Robert Indiana,"Seasons of Hope, Autumn",2012,"Signed, dated and numbered in pencil recto",No obvious signs of damage or wear.,Contemporary,Pop Art
168,9500,Robert Indiana,"Seasons of Hope, Winter",2012,"Signed, dated and numbered on bottom",No obvious signs of damage or wear.Unframed.,Contemporary,Pop Art
259,9500,Yong Jo Ji,Nirvana ,2014,[nan],Overall excellent condition.,Contemporary,Abstract
381,9500,Paige Neuhauser,W. 28th from Great Jones Alley series,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
382,9500,Paige Neuhauser,Broadway & 28th from Great Jones Alley ,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
383,9500,Paige Neuhauser,Great Jones #2 from Great Jones Alley Series,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
329,9500,Ludwig Bemelmans,Madeline,1925,Signed Bemelmans lower right.,Occasional light toning on edges. ,Modern,Art Deco
363,9350,Mickalene Thomas,Portrait of Marie Sitting in Black and White,2012,[nan],Excellent condition.Not examined out of frame.,Contemporary,Conceptual 
408,9000,Kim Gottlieb Walker,Bob Marley Smoking,1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
224,9000,Ed  Ruscha,Petro Plots: Laurel Canyon/Ventura Boulevard,2001,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
225,9000,Ed  Ruscha,Petro Plots: Hollywood/Vine,2001,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
244,9000,Martin Puryear,Untitled (State 1),2016,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
319,8995,Sze Tsung Leong,"Luohu District, Shenzhen",2008,Signed in ink on the photographer's label on the reverse,"This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Contemporary,Realism
440,8750,Larry Rivers,Make Believe Ballroom ,1989,"Signed in blue paint, dated and numbered 99/105","This work is in good condition.The work is in generally good condition apart from surface soiling and scattered spots of pale, mottled discoloration.The adhesive discolored in a few spots along the seams.",Post-War,Pop Art
202,8500,William Wegman,Enframed,1995,"Signed ""Thanks Nancy"" William Wegman on verso",Very good condition,Post-War,Realism
104,8500,Jonathan Lasker,Untitled,2011,Signed and numbered on label by the artist,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract
28,8500,Charline von Heyl,Nightpack (Red Yellow Blue),2014,Signed bottom right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract
109,8500,Darío Escobar,Sin Título,2016,"Signed, dated and numbered","The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
281,8500,Dimitri Berea,"Untitled, Harbor Scene",1965,Signed lower right recto,Not examined out of frame.No obvious signs of wear to art.Small nick and some scratches to the frame.Brown paper verso torn.  ,Post-War,Post-Impressionism
404,8000,Walker Evans,Passengers on the Subway,1939,The photographer's credit stamp (Keller B) and '33' in pencil on the reverse.,"This print, on double-weight paper with a slight surface sheen, is in generally excellent condition. There are a few soft handling creases overall and a sharp crease in the lower left corner that does not appear to break the emulsion. The lower margin corners are bumped and the upper paper-ply is peeling. On the reverse, each corner in slightly discolored.",Modern,Realism
290,8000,Frances McLaughlin-Gill,Dior Black - Paris Collections for Vogue Magazine,1952,"Signed, dated and titled in pencil verso",Excellent condition.,Post-War,Realism
288,8000,Marc Riboud,"Yves Saint-Laurent, Paris",1964,Signed verso in pencil and with photographer's stamp,Excellent condition.,Post-War,Realism
406,8000,Andrew Moore,"Salon Verde, Havana, Cuba, 1998",1998,"Signed, titled and dated verso",Some smudges on back side of plexiglass near the top.Not examined outside of frame.,Post-War,Realism
17,8000,Sol LeWitt,Horizontal Bands (More or Less) Red/Green,2002,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
387,8000,Diane Tuft,States of Matter,2005,"Signed, dated, titled and numbered on the reverse.",This work is in very good condition overall.Small nick to one corner of the frame.,Contemporary,Environmental Art
388,8000,Diane Tuft,Red Sea,2005,"Signed, dated, titled and numbered on the reverse.",This work is in very good condition with no obvious signs of damage or wear.,Contemporary,Environmental Art
24,8000,Leonardo Drew,CPP1,2015,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism
101,8000,Walter Robinson,Tumultuous Heart,2017,Signed certificate of authenticity,This work is in excellent condition.,Contemporary,Pop Art
261,8000,Jennifer Bartlett,"Homan-Ji III, 216A",[nan],Signed and dated lower right recto in pencil,Excellent condition. Paper has decked edges. Pinhole in each corner.,Contemporary,Conceptual 
245,7960,Carroll  Dunham,Untitled (March_31_2015),2015,Signed on upper right,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
5,7575,Kenzo Okada,Bamboo,1977,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
6,7550,Francesco Clemente,Air,2007,"Numbered and signed on bottom corner, recto","This work is in excellent condition, direct from the publisher.",Contemporary,Neo-Expressionism
76,7500,George Pearse Ennis,Harbor Scene,1928,"Signed lower left ""Ennis"" and titled ""Silvery Light"" in pencil on stretcher bar. ",Wear consistent with age and use.,Modern,Impressionism
